executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 08:32:57 up 53 days, 22:26,  2 users,  load average: 0.65, 6.77, 14.93', 'Tasks: 950 total,   1 running, 949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 406811.1 free,   4108.7 used, 104664.4 buff/cache', 'MiB Swap: 131072.0 total, 131020.5 free,     51.5 used. 508067.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2349027 greole    20   0   66248   5676   4008 R   5.9   0.0   0:00.03 top', '      1 root      20   0  250472  12924   6868 S   0.0   0.0   0:28.60 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.82 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:02.47 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   4:21.69 rcu_sch+'], 'uptime': ' 08:32:57 up 53 days, 22:26,  2 users,  load average: 0.65, 6.77, 14.93\n', 'libOGL.so': '498336095ad827951053d4588e4a0d8e  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,GMRES,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,BJ,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,981bf3c93e75186598b7dec8b822ff09,123.898532
HIP,CG,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,3505738342db3ef9a8712b53aad92939,117.013531
HIP,CG,BJ,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,aa46b4e7c93719dd23074f5c44086466,212.220696
HIP,CG,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,f44692bbbc25b6d960c1a8bbe69e3a2d,162.938759
HIP,BiCGStab,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,95764b5488ffe479f01ad3c76ee3fab0,152.613831
HIP,BiCGStab,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,abdef5a4b7c33f04f7b5c7ebfc399cab,263.35242
HIP,BiCGStab,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,d8266c91f1b443fbf9723f9b71307f2a,226.171521
HIP,BiCGStab,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,e61c3a9812db66cc388fba717958bd0e,178.38046
HIP,BiCGStab,BJ,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,68770c6e6041b5f5fa23af29d4b78ff2,109.625591
HIP,BiCGStab,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,BiCGStab,BJ,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,306ad9d58c9fa2ab87324fe79a1604af,207.985046
HIP,BiCGStab,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,2f291f7a0d92e6272d17069d57405ba4,159.87381
HIP,BiCGStab,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,71a1b1e55fc6b9e98d5156de47e91abc,152.105195
HIP,BiCGStab,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,BiCGStab,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,c6a259eb1d3aaca90f3e9365dc5c6de0,215.206574
HIP,BiCGStab,Multigrid,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,ILU,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,1bee750103e0a413b52944c04c688a1c,232.25154
HIP,CG,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,baafdba072ec40f8b15033fa0ccf6a0a,226.779287
HIP,CG,ILU,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,33e2c0bad77e0a5418815090746785c8,311.334409
HIP,CG,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,GMRES,ISAI,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,0,0
HIP,GMRES,ISAI,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,0,0
HIP,GMRES,ISAI,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,0,0
HIP,GMRES,ISAI,Large,None,8,nla-gpu2.ianm.kit.edu,1,8,0,0
HIP,CG,Multigrid,Large,None,16,nla-gpu2.ianm.kit.edu,1,16,afc8eeb53e46436da3e29431ea4da13c,150.229287
HIP,CG,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,1,32,7815ced624c9ad59ce1c5f0669b1bc38,164.310894
HIP,CG,Multigrid,Large,None,4,nla-gpu2.ianm.kit.edu,1,4,7c77c60489265f2e54e7894c33618ff2,223.319606
