executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 15:03:33 up 23 days, 0 min,  0 users,  load average: 0.07, 0.57, 0.89', 'Tasks: 2253 total,   2 running, 2251 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 471743.7 free,  31361.0 used,  11354.5 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 479769.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 475979 eq4036    20   0   58100   6680   3656 R  34.8   0.0   0:00.16 top', ' 224049 jupyter+  20   0  941852 115364  30416 S   4.3   0.0  30:14.42 node', ' 394795 rn8463    20   0  893976  58760  20532 S   4.3   0.0   0:40.80 node', ' 471167 root      20   0       0      0      0 I   4.3   0.0   0:01.18 kworker/u304:4-bond1', '      1 root      20   0  239460  12120   8024 S   0.0   0.0  55:04.55 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:26.17 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp'], 'uptime': ' 15:03:33 up 23 days, 0 min,  0 users,  load average: 0.07, 0.57, 0.89\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1990.localdomain,0,0.5,1,2022-05-18 13:03:33.840878,a046b2b84cfae16c594ab2ba85d9989c,0
CUDA,CG,NoPrecond,500,1,4,hkn1990.localdomain,0,1,1,2022-05-18 13:03:33.883938,034038d32df0229013b4a1344731bc70,0
CUDA,CG,NoPrecond,500,1,1,hkn1990.localdomain,0,0.25,1,2022-05-18 13:03:33.903200,d2456a528f4e6eff56b4b189a0c467d0,0
CUDA,CG,NoPrecond,500,1,16,hkn1990.localdomain,0,4,1,2022-05-18 13:03:33.920100,39e14d0ecc3514c7a465c344debd2aac,0
CUDA,CG,NoPrecond,500,1,64,hkn1990.localdomain,0,16,1,2022-05-18 13:03:33.950824,30a9c63229fdb7291cf30d2cc0971b2f,0
CUDA,CG,NoPrecond,500,1,32,hkn1990.localdomain,0,8,1,2022-05-18 13:03:34.042039,2cb284360abc9c9721875c1be052df6c,0
CUDA,CG,NoPrecond,500,1,8,hkn1990.localdomain,0,2,1,2022-05-18 13:03:34.118653,92dc0bd3408a8295ebed2a9060e6ca26,0
DefaultOF,CG,NoPrecond,500,1,4864,hkn1990.localdomain,64,0,1,2022-05-18 13:03:34.300698,14cf9fad9bc207a37f19287f0d07115e,0
DefaultOF,CG,NoPrecond,500,1,152,hkn1990.localdomain,2,0,1,2022-05-18 13:03:35.829130,0604ee591d928b3a55f7ceaee74a9fb2,0
DefaultOF,CG,NoPrecond,500,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:35.963315,a7f9e1a45438e33032e67a2a0ea718f8,0
DefaultOF,CG,NoPrecond,500,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:36.191475,2b0b3515a56ced5b0e1ca419a5a55f88,0
DefaultOF,CG,NoPrecond,500,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:36.974802,7b31e5a9b9ac7150ee5669aebb7f6418,0
DefaultOF,CG,NoPrecond,500,1,1216,hkn1990.localdomain,16,0,1,2022-05-18 13:03:37.109057,1cbde6b297ad8def8f375a69f3b55ac6,0
DefaultOF,CG,NoPrecond,500,1,76,hkn1990.localdomain,1,0,1,2022-05-18 13:03:37.509525,a85a89b180dcb4f0d39c4d22117dfb71,0
DefaultOF,CG,NoPrecond,500,1,608,hkn1990.localdomain,8,0,1,2022-05-18 13:03:37.681020,67cad1ebbab514937266771a8409d823,0
CUDA,CG,NoPrecond,400,1,2,hkn1990.localdomain,0,0.5,1,2022-05-18 13:03:37.911109,5696df56fa76bd71804dc20fa466596a,0
CUDA,CG,NoPrecond,400,1,4,hkn1990.localdomain,0,1,1,2022-05-18 13:03:37.947245,4ad8bfa8ce0ea974df352baacd5df7eb,0
CUDA,CG,NoPrecond,400,1,1,hkn1990.localdomain,0,0.25,1,2022-05-18 13:03:37.955180,8fb8658a4a4e642faf33eade05ff80e5,0
CUDA,CG,NoPrecond,400,1,16,hkn1990.localdomain,0,4,1,2022-05-18 13:03:38.021245,980140ed9b85860f8f6a6d03c6278649,0
CUDA,CG,NoPrecond,400,1,64,hkn1990.localdomain,0,16,1,2022-05-18 13:03:38.077759,c369799a9e33699e5b95878259219cbe,0
CUDA,CG,NoPrecond,400,1,32,hkn1990.localdomain,0,8,1,2022-05-18 13:03:38.146850,d2469e3d65627749c3cdc72a555016a5,0
CUDA,CG,NoPrecond,400,1,8,hkn1990.localdomain,0,2,1,2022-05-18 13:03:38.197881,5f2426d4ab9de320a75ed052785ec6f0,0
DefaultOF,CG,NoPrecond,400,1,4864,hkn1990.localdomain,64,0,1,2022-05-18 13:03:38.439439,d4909101444bd4dcdd7ea078ccd4055a,0
DefaultOF,CG,NoPrecond,400,1,152,hkn1990.localdomain,2,0,1,2022-05-18 13:03:40.233493,277f6f3eee66da5c49317ddd55487cbd,0
DefaultOF,CG,NoPrecond,400,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:40.415972,4414fb9c5b425c3d10a1b760c97c5498,0
DefaultOF,CG,NoPrecond,400,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:40.652143,c67ed967f60e93b212d9a52aac32f9a6,0
DefaultOF,CG,NoPrecond,400,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:41.420944,c7b2d6df09ec3d2e5d9c06455a57f828,0
DefaultOF,CG,NoPrecond,400,1,1216,hkn1990.localdomain,16,0,1,2022-05-18 13:03:41.526912,718446966ed29b4070cc920f74d34d01,0
DefaultOF,CG,NoPrecond,400,1,76,hkn1990.localdomain,1,0,1,2022-05-18 13:03:42.096740,2a4bf83e3e93679409b71fc404d2d275,0
DefaultOF,CG,NoPrecond,400,1,608,hkn1990.localdomain,8,0,1,2022-05-18 13:03:42.227042,3e34da98463a8ffbe68d768f5d3fd9b0,0
CUDA,CG,NoPrecond,300,1,2,hkn1990.localdomain,0,0.5,1,2022-05-18 13:03:42.518834,dd365cfad7018fbe08cc3e1cd67f1eaa,0
CUDA,CG,NoPrecond,300,1,4,hkn1990.localdomain,0,1,1,2022-05-18 13:03:42.553172,d15e9df7cc2e3e6a7ed2590feaad1eed,0
CUDA,CG,NoPrecond,300,1,1,hkn1990.localdomain,0,0.25,1,2022-05-18 13:03:42.565700,1cf6499b522553ee4a0634b1d40de1dc,0
CUDA,CG,NoPrecond,300,1,16,hkn1990.localdomain,0,4,1,2022-05-18 13:03:42.602005,3930345fa25087c017430b8769f4d357,0
CUDA,CG,NoPrecond,300,1,64,hkn1990.localdomain,0,16,1,2022-05-18 13:03:42.651638,0deadb89e8231bd905254c49fe7f0869,0
CUDA,CG,NoPrecond,300,1,32,hkn1990.localdomain,0,8,1,2022-05-18 13:03:42.726751,533af28bf10e62c4c415256bea102459,0
CUDA,CG,NoPrecond,300,1,8,hkn1990.localdomain,0,2,1,2022-05-18 13:03:42.784525,63459858dc9259d5dcdb88d40fa008bf,0
DefaultOF,CG,NoPrecond,300,1,4864,hkn1990.localdomain,64,0,1,2022-05-18 13:03:42.958049,18b63ab2cc7521c8a027563fea67431b,0
DefaultOF,CG,NoPrecond,300,1,152,hkn1990.localdomain,2,0,1,2022-05-18 13:03:44.713302,0f97515a8d82a59aad311d74e04fa6db,0
DefaultOF,CG,NoPrecond,300,1,304,hkn1990.localdomain,4,0,1,2022-05-18 13:03:44.892067,02a899819abec99af550d781ded15b72,0
DefaultOF,CG,NoPrecond,300,1,2432,hkn1990.localdomain,32,0,1,2022-05-18 13:03:45.266543,ddea5e77ca262af7a332ecc5fb9666ea,0
DefaultOF,CG,NoPrecond,300,1,38,hkn1990.localdomain,0.5,0,1,2022-05-18 13:03:46.189443,6dd604ce773b85978bf4e981f4f923c3,0
