executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,mpiRank_of,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09', 'Tasks: 1950 total,   1 running, 1949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 471656.5 free,  30854.1 used,  11948.7 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 480269.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2856629 eq4036    20   0   57808   6356   3588 R  26.1   0.0   0:00.16 top', '  22158 root       0 -20   99.2g  23.7g  17.1g S   4.3   4.7   4992:35 mmfsd', '      1 root      20   0  239448  12000   7920 S   0.0   0.0  15:12.19 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:16.50 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 07:39:47 up 25 days, 16:37,  0 users,  load average: 0.10, 0.12, 0.09\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1991.localdomain,0.5,0,1,2022-05-21 05:39:47.996319,bb3eb83489ae4d8f6764ff69ac1ced59,0
CUDA,CG,NoPrecond,500,1,4,hkn1991.localdomain,1,0,1,2022-05-21 05:39:48.011301,83ada4061cb98ec827316635fe04d8d5,0
CUDA,CG,NoPrecond,500,1,16,hkn1991.localdomain,4,0,1,2022-05-21 05:39:48.028002,f9c16387980ff95328e528a2f26a5f11,0
CUDA,CG,NoPrecond,500,1,64,hkn1991.localdomain,16,0,1,2022-05-21 05:39:48.057377,638c898cc8a46b08c7ab0ebab02c7021,0
CUDA,CG,NoPrecond,500,1,32,hkn1991.localdomain,8,0,1,2022-05-21 05:39:48.111195,3c89ed0446468ec71175d0e7b359a906,0
CUDA,CG,NoPrecond,500,1,8,hkn1991.localdomain,2,0,1,2022-05-21 05:39:48.144625,c4da71d902a53c1c4f4682f31ab88e5e,0
DefaultOF,CG,NoPrecond,500,1,512,hkn1991.localdomain,0,8,1,2022-05-21 05:39:48.164892,9c60cc09cd2c5ec1431739bbdc754995,0
DefaultOF,CG,NoPrecond,500,1,1024,hkn1991.localdomain,0,16,1,2022-05-21 05:39:48.369139,ba3bb7f2272b8b60b4b09de707eaae3d,0
DefaultOF,CG,NoPrecond,500,1,128,hkn1991.localdomain,0,2,1,2022-05-21 05:39:48.729584,39879144d6eb36417b0bf5d09578f2b3,0
