executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 12:48:08 up 23 days, 21:45,  0 users,  load average: 0.44, 0.99, 1.14', 'Tasks: 1925 total,   1 running, 1924 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 469528.3 free,  34341.8 used,  10589.1 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 476771.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2803754 eq4036    20   0   57832   6376   3604 R  28.6   0.0   0:00.14 top', '      1 root      20   0  239408  11960   7900 S   0.0   0.0   3:30.89 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:07.44 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     11 root      20   0       0      0      0 S   0.0   0.0   0:26.99 ksoftirqd/0'], 'uptime': ' 12:48:08 up 23 days, 21:45,  0 users,  load average: 0.44, 0.99, 1.14\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,1,0.5,2022-05-19 10:48:08.644036,bb3eb83489ae4d8f6764ff69ac1ced59,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,1,2022-05-19 10:48:08.656548,83ada4061cb98ec827316635fe04d8d5,0
CUDA,CG,NoPrecond,500,1,16,hkn1993.localdomain,1,4,2022-05-19 10:48:08.672379,f9c16387980ff95328e528a2f26a5f11,0
CUDA,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,16,2022-05-19 10:48:08.700648,638c898cc8a46b08c7ab0ebab02c7021,0
CUDA,CG,NoPrecond,500,1,32,hkn1993.localdomain,1,8,2022-05-19 10:48:08.765887,3c89ed0446468ec71175d0e7b359a906,0
CUDA,CG,NoPrecond,500,1,8,hkn1993.localdomain,1,2,2022-05-19 10:48:08.803574,c4da71d902a53c1c4f4682f31ab88e5e,0
CUDA,CG,NoPrecond,400,1,2,hkn1993.localdomain,1,0.5,2022-05-19 10:48:09.526520,325e95bd23cdf2b2c9cd39a410a7bf77,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,1,2022-05-19 10:48:09.582477,9c1d10eb90fcbd34d9edc821a51ddb3c,0
CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,1,4,2022-05-19 10:48:09.610672,120b2330020cba97447954f39fb9a089,0
