executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00', 'Tasks: 953 total,   1 running, 952 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 421754.3 free,   3806.0 used,  90023.8 buff/cache', 'MiB Swap: 131072.0 total, 131021.0 free,     51.0 used. 508440.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2040912 greole    20   0   66248   5836   4176 R   5.9   0.0   0:00.03 top', '      1 root      20   0  242276  12916   6868 S   0.0   0.0   0:24.31 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.41 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:01.77 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   3:50.75 rcu_sch+'], 'uptime': ' 21:06:45 up 48 days, 11:00,  3 users,  load average: 0.01, 0.01, 0.00\n', 'libOGL.so': '4feb5a9af6888972ba40a17b378ef307  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,GMRES,ILU,Large,None,32,nla-gpu2.ianm.kit.edu,32,1,0,0
HIP,GMRES,ILU,Large,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,GMRES,ILU,Large,None,8,nla-gpu2.ianm.kit.edu,8,1,0,0
HIP,CG,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,32,1,af598a0b57d47a729568d625110ef48e,114.226843
HIP,CG,BJ,Large,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,CG,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,8,1,f56a88979bc214725ac348f66d5376b7,170.08413
HIP,BiCGStab,BJ,Large,None,32,nla-gpu2.ianm.kit.edu,32,1,8a98c9b55162be278ff21efc99ffc396,92.638391
HIP,BiCGStab,BJ,Large,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
HIP,BiCGStab,BJ,Large,None,8,nla-gpu2.ianm.kit.edu,8,1,423491afcea443587dc75528b5a319fe,166.608105
HIP,BiCGStab,Multigrid,Large,None,32,nla-gpu2.ianm.kit.edu,32,1,1b84db39b1bdf90ba4db5bcb70a61152,143.756908
HIP,BiCGStab,Multigrid,Large,None,40,nla-gpu2.ianm.kit.edu,40,1,0,0
