executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 13:40:21 up 29 days, 22:37,  0 users,  load average: 3.88, 1.62, 0.97', 'Tasks: 1951 total,   1 running, 1950 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 467626.2 free,  34334.9 used,  12498.1 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 476778.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2423833 eq4036    20   0   57812   6504   3736 R  25.0   0.0   0:00.10 top', '      1 root      20   0  239408  11960   7900 S   0.0   0.0   4:09.19 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:08.96 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     11 root      20   0       0      0      0 S   0.0   0.0   0:32.47 ksoftirqd/0'], 'uptime': ' 13:40:21 up 29 days, 22:37,  0 users,  load average: 3.88, 1.62, 0.97\n', 'libOGL.so': 'c31ff7fbea61461db688abb6e04bee7d  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,0.5,1,2022-05-25 11:40:21.401214,10fb3ce21c64186932507046479843aa,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,1,2022-05-25 11:40:21.416969,a5cb03171cf41e501cd5291039435baf,0
CUDA,CG,NoPrecond,500,1,16,hkn1993.localdomain,4,1,2022-05-25 11:40:21.430021,a4753ad09c6177d23a5a9b8e7fe436d9,0
CUDA,CG,NoPrecond,500,1,64,hkn1993.localdomain,16,1,2022-05-25 11:40:21.454363,cd67bb0e6f2e48c7111e72c079f1d033,0
CUDA,CG,NoPrecond,500,1,32,hkn1993.localdomain,8,1,2022-05-25 11:40:21.512882,f5818cd06f416604daf5a5d677b71e8b,0
CUDA,CG,NoPrecond,500,1,8,hkn1993.localdomain,2,1,2022-05-25 11:40:21.548467,c833d72e252dd4c41bbcbbce9ba76023,0
CUDA,CG,NoPrecond,400,1,2,hkn1993.localdomain,0.5,1,2022-05-25 11:40:22.562321,d5a00f542485b0148939bd988916281f,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,1,2022-05-25 11:40:22.590604,297262abe9e27ff2ffde465a51990604,0
CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,4,1,2022-05-25 11:40:22.651033,963c865c730dfb263c92a0eb754841ba,0
