executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 14:33:30 up 4 days, 21:34,  3 users,  load average: 0.18, 1.57, 1.50', 'Tasks: 962 total,   1 running, 946 sleeping,  15 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 483328.2 total, 242839.5 free,   2756.6 used, 237732.1 buff/cache', 'MiB Swap: 131072.0 total, 130929.0 free,    143.0 used. 477992.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 159475 greole    20   0   66408   5880   4224 R  11.8   0.0   0:00.03 top', '   2552 root      20   0  644484  45320  40792 S   5.9   0.0  11:10.21 tuned', '      1 root      20   0  249664   9332   6140 S   0.0   0.0   0:04.75 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:01.13 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 14:33:30 up 4 days, 21:34,  3 users,  load average: 0.18, 1.57, 1.50\n', 'libOGL.so': '5ac39bd5bb2625066e174816aa7c2088  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
HIP,CG,ISAI,Small,None,4,nla-gpu2.ianm.kit.edu,1,4,2022-03-28 12:35:00.501635,16cd7e4decc74665d3e7444cee4386ab,89.506454
HIP,CG,ISAI,Small,None,5,nla-gpu2.ianm.kit.edu,1,5,2022-03-28 12:36:13.978386,ba2e25ea781d05e6809cbe4906077159,73.471004
HIP,CG,ISAI,Small,None,8,nla-gpu2.ianm.kit.edu,1,8,2022-03-28 12:37:05.423475,c628eb9d549e7968acd75049323ce565,51.438885
HIP,CG,ISAI,Small,None,7,nla-gpu2.ianm.kit.edu,1,7,2022-03-28 12:38:02.582314,e079c659decbb53a9a53513872789fb9,57.152182
HIP,CG,ISAI,Small,None,2,nla-gpu2.ianm.kit.edu,1,2,2022-03-28 12:40:57.858748,44467cd812a91c39316677fa57ba2220,175.270352
HIP,CG,ISAI,Small,None,3,nla-gpu2.ianm.kit.edu,1,3,2022-03-28 12:42:58.130061,6e287bb855bfcd1e8333830ee0d754e6,120.266551
HIP,CG,ISAI,Small,None,6,nla-gpu2.ianm.kit.edu,1,6,2022-03-28 12:44:06.236834,336d62139ab3b178a550695a118eca7f,68.101891
HIP,CG,BJ,Small,None,4,nla-gpu2.ianm.kit.edu,1,4,2022-03-28 12:45:28.866191,381d824dbb6e28a3e5d393f52b6bd955,82.609905
HIP,CG,BJ,Small,None,5,nla-gpu2.ianm.kit.edu,1,5,2022-03-28 12:46:36.256376,799c5150658fccfac1ddc254f308dd88,67.385243
HIP,CG,BJ,Small,None,8,nla-gpu2.ianm.kit.edu,1,8,2022-03-28 12:47:24.675253,ff2b9cd8939b77ed43c7256a3e8fa005,48.412995
HIP,CG,BJ,Small,None,7,nla-gpu2.ianm.kit.edu,1,7,2022-03-28 12:48:17.976933,73e4f13718bde9c0839eebf40c426b45,53.295129
HIP,CG,BJ,Small,None,2,nla-gpu2.ianm.kit.edu,1,2,2022-03-28 12:50:57.149501,81b3ff769e9c60f809daf8fe0738aa1d,159.16717
HIP,CG,BJ,Small,None,3,nla-gpu2.ianm.kit.edu,1,3,2022-03-28 12:52:47.910195,199130e5e6cac7e766fbcaddba533649,110.756311
HIP,CG,BJ,Small,None,6,nla-gpu2.ianm.kit.edu,1,6,2022-03-28 12:53:52.029399,d4927f5256911f3a7f50e04ad5de4806,64.113337
HIP,CG,Multigrid,Small,None,4,nla-gpu2.ianm.kit.edu,1,4,2022-03-28 12:55:16.236420,c3a80e23a1a921cd02fbc1be0dbaf894,84.188323
HIP,CG,Multigrid,Small,None,5,nla-gpu2.ianm.kit.edu,1,5,2022-03-28 12:56:25.305436,f3c538a00ed7c1d524e9e5aa0205ebd4,69.063642
HIP,CG,Multigrid,Small,None,8,nla-gpu2.ianm.kit.edu,1,8,2022-03-28 12:57:13.875423,887ab21f3e7b6b170d099375ad5e4325,48.563821
HIP,CG,Multigrid,Small,None,7,nla-gpu2.ianm.kit.edu,1,7,2022-03-28 12:58:08.525646,cbd2124f5adfeac82779a8b4a07b2ea3,54.643526
HIP,CG,Multigrid,Small,None,2,nla-gpu2.ianm.kit.edu,1,2,2022-03-28 13:00:49.214901,a63c110a45c8ea3c0237ad635f1e6d98,160.683629
HIP,CG,Multigrid,Small,None,3,nla-gpu2.ianm.kit.edu,1,3,2022-03-28 13:02:43.608859,ebc002a2a921126b8823bdee18b0e9cc,114.389077
HIP,CG,Multigrid,Small,None,6,nla-gpu2.ianm.kit.edu,1,6,2022-03-28 13:03:48.680268,441843987ce344b972bddef58bbbefab,65.065561
