executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1992.localdomain\n', 'top': ['top - 22:31:21 up 28 days,  7:28,  0 users,  load average: 4.43, 4.25, 4.13', 'Tasks: 1926 total,   5 running, 1921 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.2 us,  0.8 sy,  0.0 ni, 97.9 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 460103.3 free,  43401.6 used,  10954.4 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 467712.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3349161 dc6002    20   0 3142604   2.8g  16508 R  88.9   0.6   6:39.03 cdo', '3349424 dc6002    20   0 3142600   2.8g  16720 R  77.8   0.6   2:54.20 cdo', '3350558 dc6002    20   0 3142600   2.8g  16756 R  61.1   0.6   0:06.66 cdo', '3349184 dc6002    20   0 3142600   2.8g  16560 R  55.6   0.6   6:10.63 cdo', '3350576 eq4036    20   0   57832   6448   3676 R  33.3   0.0   0:00.11 top', '  22518 root       0 -20  100.2g  24.7g  18.0g S  11.1   4.9   5562:21 mmfsd', '   2087 root       0 -20       0      0      0 I   5.6   0.0   0:00.41 kworker/59:1H-kblockd', '      1 root      20   0  239364  11992   8080 S   0.0   0.0   2:36.39 systemd'], 'uptime': ' 22:31:21 up 28 days,  7:28,  0 users,  load average: 4.43, 4.25, 4.13\n', 'libOGL.so': '1beeec2c22e97cb6d77068d8823590a4  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1992.localdomain,0,1,0.5,2022-05-23 20:31:21.237167,47100ee1e9ac91e0ece852eee4960c6c,0
CUDA,CG,NoPrecond,500,1,4,hkn1992.localdomain,0,1,1,2022-05-23 20:31:21.319570,5c50aca97b454b038986d1096361a0a3,0
CUDA,CG,NoPrecond,500,1,16,hkn1992.localdomain,0,1,4,2022-05-23 20:31:21.410666,9418806f4a013bf728aa4b65970b130b,0
CUDA,CG,NoPrecond,500,1,64,hkn1992.localdomain,0,1,16,2022-05-23 20:31:21.566871,a15887dfca4ebd23f21b923b2861ad08,0
CUDA,CG,NoPrecond,500,1,32,hkn1992.localdomain,0,1,8,2022-05-23 20:31:22.061747,64741c94ce598a8de6b0f17ee34b0df9,0
CUDA,CG,NoPrecond,500,1,8,hkn1992.localdomain,0,1,2,2022-05-23 20:31:22.351253,eca9c7bad7c513cfd7934abbe6ebdfb5,0
DefaultOF,CG,NoPrecond,500,1,512,hkn1992.localdomain,8,1,0,2022-05-23 20:31:22.495734,df6e6708882c2d3808287ca9b3f6c675,0
DefaultOF,CG,NoPrecond,500,1,1024,hkn1992.localdomain,16,1,0,2022-05-23 20:31:26.186581,b12a297a101651b4c08cc6671a9ecab7,0
DefaultOF,CG,NoPrecond,500,1,128,hkn1992.localdomain,2,1,0,2022-05-23 20:31:33.199804,68a2be3a5799cb0b1168f0c299b22d45,0
DefaultOF,CG,NoPrecond,500,1,64,hkn1992.localdomain,1,1,0,2022-05-23 20:31:34.147377,9bc59425faff503321bd275c3cd0e22e,0
DefaultOF,CG,NoPrecond,500,1,32,hkn1992.localdomain,0.5,1,0,2022-05-23 20:31:34.665692,8deb240b088cd29207536b9666e13fb6,0
DefaultOF,CG,NoPrecond,500,1,256,hkn1992.localdomain,4,1,0,2022-05-23 20:31:34.965221,506055d671d53225641aa835f8d8f45f,0
CUDA,CG,NoPrecond,400,1,2,hkn1992.localdomain,0,1,0.5,2022-05-23 20:31:36.947669,0707c7be809b5263b655845b37cab111,0
CUDA,CG,NoPrecond,400,1,4,hkn1992.localdomain,0,1,1,2022-05-23 20:31:37.023851,387801eb56a8966eedfa5a2b49de3002,0
CUDA,CG,NoPrecond,400,1,16,hkn1992.localdomain,0,1,4,2022-05-23 20:31:37.116733,f7165442da73ad25a34d0d463088b0a9,0
CUDA,CG,NoPrecond,400,1,64,hkn1992.localdomain,0,1,16,2022-05-23 20:31:37.306460,2bf81d4b2dcdfad1aad8e67cc6985dec,0
CUDA,CG,NoPrecond,400,1,32,hkn1992.localdomain,0,1,8,2022-05-23 20:31:37.841818,c2a8744dea54450b74b82e276be0eab2,0
CUDA,CG,NoPrecond,400,1,8,hkn1992.localdomain,0,1,2,2022-05-23 20:31:38.149811,e54ff0d5ad8a2e3681de5b199b515039,0
DefaultOF,CG,NoPrecond,400,1,512,hkn1992.localdomain,8,1,0,2022-05-23 20:31:38.305831,1d3df4bfceb6df592148ba0e6c5e9c2a,0
DefaultOF,CG,NoPrecond,400,1,1024,hkn1992.localdomain,16,1,0,2022-05-23 20:31:41.989726,fe7da1cd306fcac7132319df60e65835,0
DefaultOF,CG,NoPrecond,400,1,128,hkn1992.localdomain,2,1,0,2022-05-23 20:31:49.125570,98d78432b67f4e2cd6baae76fb6de7fd,0
DefaultOF,CG,NoPrecond,400,1,64,hkn1992.localdomain,1,1,0,2022-05-23 20:31:50.107707,4df23a279844a9be923ccc051f7db5e1,0
DefaultOF,CG,NoPrecond,400,1,32,hkn1992.localdomain,0.5,1,0,2022-05-23 20:31:50.624604,c7a67598f2fcb04d53566754ee0b3710,0
DefaultOF,CG,NoPrecond,400,1,256,hkn1992.localdomain,4,1,0,2022-05-23 20:31:50.934975,d32daf4abb07e8820c2b980283cf11be,0
CUDA,CG,NoPrecond,300,1,2,hkn1992.localdomain,0,1,0.5,2022-05-23 20:31:52.940304,f3db20cc200c499a9f176d7e4cebd122,0
CUDA,CG,NoPrecond,300,1,4,hkn1992.localdomain,0,1,1,2022-05-23 20:31:53.023666,0cf4ae246d9aa761453784c6426e9263,0
CUDA,CG,NoPrecond,300,1,16,hkn1992.localdomain,0,1,4,2022-05-23 20:31:53.129996,3b57d1d5bbe8611bae376184ac5d84a3,0
CUDA,CG,NoPrecond,300,1,64,hkn1992.localdomain,0,1,16,2022-05-23 20:31:53.346375,e29866edb6fe4ade2850b585e512e0a5,0
CUDA,CG,NoPrecond,300,1,32,hkn1992.localdomain,0,1,8,2022-05-23 20:31:54.037214,bd941ac972c0ff550de7ffde8e775380,0
CUDA,CG,NoPrecond,300,1,8,hkn1992.localdomain,0,1,2,2022-05-23 20:31:54.312186,19d3f3ea15de854328644b1987cc2709,0
