executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 23:10:30 up 54 days, 13:03,  3 users,  load average: 0.18, 1.70, 4.40', 'Tasks: 954 total,   1 running, 953 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 312854.6 free,   4105.8 used, 198623.8 buff/cache', 'MiB Swap: 131072.0 total, 131019.2 free,     52.8 used. 507946.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2853446 greole    20   0   66380   5892   4220 R   5.9   0.0   0:00.03 top', '      1 root      20   0  250472  12924   6868 S   0.0   0.0   0:29.13 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:02.92 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:02.88 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   4:28.19 rcu_sch+'], 'uptime': ' 23:10:30 up 54 days, 13:03,  3 users,  load average: 0.18, 1.70, 4.40\n', 'libOGL.so': '54f3fe35dbd23d774e306398795a6b09  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
HIP,BiCGStab,NoPrecond,400,None,2,nla-gpu2.ianm.kit.edu,2,1,0,0
HIP,BiCGStab,NoPrecond,400,None,16,nla-gpu2.ianm.kit.edu,16,1,5dcaa70fbf06f01e6d8f67f6551e783e,2978.171581
HIP,BiCGStab,NoPrecond,400,None,12,nla-gpu2.ianm.kit.edu,12,1,5261ec459b45c8e162b56e5359384bc3,2130.025442
HIP,BiCGStab,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,0,0
HIP,BiCGStab,NoPrecond,400,None,20,nla-gpu2.ianm.kit.edu,20,1,2cee8e494be766569c7245a63da953ae,3292.155964
HIP,BiCGStab,NoPrecond,400,None,10,nla-gpu2.ianm.kit.edu,10,1,9916dd9c9701cb97f9b0b9e3c65c96dd,1976.270684
HIP,BiCGStab,NoPrecond,400,None,4,nla-gpu2.ianm.kit.edu,4,1,fe4e8d8940e2649c8b77a1d6577523ee,3011.903174
HIP,BiCGStab,NoPrecond,400,None,8,nla-gpu2.ianm.kit.edu,8,1,70c4c65937ef5c07ebd0c789acebad8b,1732.354042
HIP,CG,NoPrecond,400,None,2,nla-gpu2.ianm.kit.edu,2,1,0,0
HIP,CG,NoPrecond,400,None,16,nla-gpu2.ianm.kit.edu,16,1,bc64caced8a48e3fb8da2d8c550be76e,1745.722093
HIP,CG,NoPrecond,400,None,12,nla-gpu2.ianm.kit.edu,12,1,fc193f52893744e3cbf26f142acd1fad,1413.821676
HIP,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,32,1,7a19d8c142dbc6113e6da8208fc05f49,2345.526704
HIP,CG,NoPrecond,400,None,20,nla-gpu2.ianm.kit.edu,20,1,8bb8a931b4c8820b6980aa5896455814,1809.861756
HIP,CG,NoPrecond,400,None,10,nla-gpu2.ianm.kit.edu,10,1,727ef7ddfa02616c2e14aaa3314c49c8,1363.909858
HIP,CG,NoPrecond,400,None,4,nla-gpu2.ianm.kit.edu,4,1,dc5e9b4ea3ddc7f6ad5d8a78c66bd121,2632.932325
HIP,CG,NoPrecond,400,None,8,nla-gpu2.ianm.kit.edu,8,1,a8a46e4cca3d249e18fff5edbea84850,1325.765732
