executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'top': ['top - 13:00:45 up 58 days,  2:54,  2 users,  load average: 0.14, 0.68, 1.24', 'Tasks: 950 total,   1 running, 949 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.1 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515584.2 total, 332886.3 free,   3981.9 used, 178715.9 buff/cache', 'MiB Swap: 131072.0 total, 130987.0 free,     85.0 used. 507812.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1548911 greole    25   5   66248   5808   4144 R   5.9   0.0   0:00.03 top', '      1 root      20   0  250472  12016   6500 S   0.0   0.0   0:31.45 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:03.26 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0   0:04.60 ksoftir+', '     12 root      20   0       0      0      0 I   0.0   0.0   5:21.28 rcu_sch+'], 'uptime': ' 13:00:45 up 58 days,  2:54,  2 users,  load average: 0.14, 0.68, 1.24\n', 'libOGL.so': '016cbc38c14f9bf4f596ba635538e7da  /home/greole/OpenFOAM/greole-v2106/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,8,1,fdc724a6e1e61267835b894cf3b900b3,572.917634
DefaultOF,CG,NoPrecond,300,None,32,nla-gpu2.ianm.kit.edu,8,1,f3b04f7b35b464fc21d400d3041ae59b,408.428417
DefaultOF,BiCGStab,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,8,1,8af682060d86758a852000b06e06b766,126.948802
DefaultOF,CG,NoPrecond,200,None,32,nla-gpu2.ianm.kit.edu,8,1,065c9fbb5c61f09af7c594db1690b065,59.06729
DefaultOF,BiCGStab,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,8,1,aa714f5c043e53f49b4b75e3d47b5840,5.701204
DefaultOF,CG,NoPrecond,100,None,32,nla-gpu2.ianm.kit.edu,8,1,266c6735e4a2cc1b880365e45889edac,4.506508
DefaultOF,BiCGStab,NoPrecond,500,None,32,nla-gpu2.ianm.kit.edu,8,1,4696581b2f23ccaba7d3f35be28ced17,6849.407528
DefaultOF,CG,NoPrecond,500,None,32,nla-gpu2.ianm.kit.edu,8,1,a9e2d988eaa1b4b4d774fe23b9da8674,2548.499198
DefaultOF,BiCGStab,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,8,1,a685125f578dbdb473cb8a48a1b1f917,2639.575944
DefaultOF,CG,NoPrecond,400,None,32,nla-gpu2.ianm.kit.edu,8,1,7b90083430fa40cc098d776910df8b5e,1301.943553
