executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'hkn0848.localdomain\n', 'top': ['top - 17:44:14 up 174 days, 20:35,  0 users,  load average: 3.92, 33.29, 50.80', 'Tasks: 1679 total,   1 running, 1678 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 497972.9 free,  15634.4 used,    993.2 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 496339.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1640762 eq4036    20   0   57488   6092   3580 R  11.8   0.0   0:00.04 top', '      1 root      20   0   95860  10272   6808 S   0.0   0.0   0:52.80 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:24.44 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0  13:05.77 ksoftir+'], 'uptime': ' 17:44:14 up 174 days, 20:35,  0 users,  load average: 3.92, 33.29, 50.80\n', 'libOGL.so': '89e18a68dc7e9cf902ea8d5fdf2132fc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
CUDA,CG,ISAI,100,1,8,hkn0621.localdomain,1,8,d9e3b93fb0c502e3321b33a8d17d2e9f,6.803886
CUDA,BiCGStab,NoPrecond,100,1,38,hkn0621.localdomain,1,38,e0cfa153137fea44df99243f85fe19e1,13.423995
CUDA,BiCGStab,NoPrecond,100,1,8,hkn0621.localdomain,1,8,d44c920f262acd309bde2120151b01f2,7.306846
CUDA,CG,NoPrecond,100,1,8,hkn0621.localdomain,1,8,972b5e21851fb95b6608fd98a460cab8,6.50789
CUDA,BiCGStab,ISAI,100,1,8,hkn0621.localdomain,1,8,31c8b868f9e223ee661536b522b5579a,9.01626
CUDA,BiCGStab,Multigrid,100,1,38,hkn0621.localdomain,1,38,2c7f47d335081084eb34399d1b0515a3,2223.081405
CUDA,BiCGStab,Multigrid,100,1,8,hkn0621.localdomain,1,8,481c4a60fa1ce3fc31a5899547f66f05,1639.663697
CUDA,CG,Multigrid,100,1,8,hkn0621.localdomain,1,8,1ae37612c8065a6fef180c1c8537cabd,11.742141
CUDA,CG,ISAI,200,1,8,hkn0425.localdomain,8,1,3cfbcf8e21268f01483aa235a894df05,50.760333
CUDA,BiCGStab,NoPrecond,200,1,8,hkn0425.localdomain,8,1,8bff32e391d1c2f7bec1401c02b02e80,60.102819
CUDA,CG,NoPrecond,200,1,8,hkn0425.localdomain,8,1,7b70fb5c98712dc3fb4e972e9db6bd50,49.653439
CUDA,BiCGStab,ISAI,200,1,8,hkn0425.localdomain,8,1,8b4490165499db964dc0327b9cd99898,63.650704
CUDA,CG,ISAI,300,1,8,hkn0425.localdomain,8,1,856d7c913162caf9c4e7ad3542528bd1,272.634682
CUDA,BiCGStab,NoPrecond,300,1,8,hkn0425.localdomain,8,1,b7b6b823c0766c9681ea93475e55ccb9,327.707895
CUDA,CG,NoPrecond,300,1,8,hkn0425.localdomain,8,1,11ca03885dc0fcf06081b0dd0b4d3eab,272.171743
CUDA,CG,ISAI,400,1,8,hkn0801.localdomain,1,8,e221f2aaaf203c97c8d833fd89b8dfc0,979.225752
CUDA,BiCGStab,NoPrecond,400,1,8,hkn0801.localdomain,1,8,0174d2c385550c5772b57806490644d3,1231.940621
CUDA,CG,NoPrecond,400,1,8,hkn0801.localdomain,1,8,ddfe27518ab6b37aa5a70d18d542a8c5,969.117153
