
executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank,processes,log_id,run_time
#{'node_data': {'host': 'hkn0848.localdomain\n', 'top': ['top - 17:44:14 up 174 days, 20:35,  0 users,  load average: 3.92, 33.29, 50.80', 'Tasks: 1679 total,   1 running, 1678 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514600.6 total, 497972.9 free,  15634.4 used,    993.2 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 496339.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1640762 eq4036    20   0   57488   6092   3580 R  11.8   0.0   0:00.04 top', '      1 root      20   0   95860  10272   6808 S   0.0   0.0   0:52.80 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:24.44 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+', '     11 root      20   0       0      0      0 S   0.0   0.0  13:05.77 ksoftir+'], 'uptime': ' 17:44:14 up 174 days, 20:35,  0 users,  load average: 3.92, 33.29, 50.80\n', 'libOGL.so': '89e18a68dc7e9cf902ea8d5fdf2132fc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.0', 'OBR_VERSION': '0.3.0'}
DefaultOF,BiCGStab,DIC,100,1,38,hkn0017.localdomain,38,1,b7d21109c255926c92b68a0ad8c618a5,4.687561
DefaultOF,BiCGStab,NoPrecond,100,1,38,hkn0017.localdomain,38,1,33c1dde94f165317df544c375c7dbc97,5.809844
DefaultOF,CG,NoPrecond,100,1,38,hkn0017.localdomain,38,1,08895cd4cba1d3d013cf962eeba02608,4.441654
DefaultOF,CG,DIC,100,1,38,hkn0017.localdomain,38,1,61fa34b45dde7f9947ab02b274787ccc,3.858798
DefaultOF,BiCGStab,DIC,200,1,38,hkn0017.localdomain,1,38,f8ae30798a4a0b228b144a9140d1a4a6,70.884267
DefaultOF,BiCGStab,NoPrecond,200,1,38,hkn0017.localdomain,1,38,e96e1c38f9d4009de0342ff7a6fee80f,86.308456
DefaultOF,CG,NoPrecond,200,1,38,hkn0017.localdomain,1,38,75ef41b3a8e19f7c8d24c523ca0bbbe3,54.21745
DefaultOF,CG,DIC,200,1,38,hkn0017.localdomain,1,38,32cf0d160466d239cc6c6204d62b1903,50.685842
DefaultOF,BiCGStab,DIC,300,1,38,hkn0001.localdomain,38,1,2f250c6851daa7e8f13c6ad351434950,353.961277
DefaultOF,BiCGStab,NoPrecond,300,1,38,hkn0001.localdomain,38,1,439df9b3561104c96aef5ddcd23ac172,566.498219
DefaultOF,CG,NoPrecond,300,1,38,hkn0001.localdomain,38,1,1a63c0ae9576e25afa5f901504b1f1f2,364.857374
DefaultOF,CG,DIC,300,1,38,hkn0001.localdomain,38,1,24544f3645e4a198b10518588bac70ec,268.185042
DefaultOF,BiCGStab,DIC,400,1,38,hkn0003.localdomain,38,1,6a5273a9bd87d5f2ad289ab12767b49e,1050.675045
DefaultOF,BiCGStab,NoPrecond,400,1,38,hkn0003.localdomain,38,1,5409a06d19b53b659c6ac119f6ad0d23,2301.000906
DefaultOF,CG,NoPrecond,400,1,38,hkn0003.localdomain,38,1,0f500d22865d643d09d54cad608c4af3,1221.84351
DefaultOF,CG,DIC,400,1,38,hkn0003.localdomain,38,1,5dc61437d9ce942177766ae77b7a923a,881.597
