executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 11:46:17 up 34 days, 20:43,  0 users,  load average: 0.08, 0.08, 0.09', 'Tasks: 1953 total,   2 running, 1951 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 466905.8 free,  34893.3 used,  12660.1 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 476219.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3498706 eq4036    20   0   57812   6372   3604 R  22.7   0.0   0:00.13 top', '     12 root      20   0       0      0      0 I   4.5   0.0 120:24.88 rcu_sched', '      1 root      20   0  239408  11960   7900 S   0.0   0.0   4:24.87 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:09.81 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 11:46:17 up 34 days, 20:43,  0 users,  load average: 0.08, 0.08, 0.09\n', 'libOGL.so': '8d55e259961f49304dc5d98065bc6773  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,1,0.5,0,2022-05-30 09:46:17.306380,df1e88f9a8423d8a5c98dfd942d2b7a2,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,1,0,2022-05-30 09:46:17.319884,e75dfc49d96d8f270d79933ae04a067e,0
CUDA,CG,NoPrecond,500,1,16,hkn1993.localdomain,1,4,0,2022-05-30 09:46:17.335643,a38c554541bf330d6cab578346cdda92,0
CUDA,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,16,0,2022-05-30 09:46:17.361146,0c1e53edb13d206720afd4538626b00f,0
CUDA,CG,NoPrecond,500,1,32,hkn1993.localdomain,1,8,0,2022-05-30 09:46:17.417671,03d00b302ba8f0a612fbacb3861dd056,0
CUDA,CG,NoPrecond,500,1,8,hkn1993.localdomain,1,2,0,2022-05-30 09:46:17.454386,c85c0c700f03de4ad17a441611fc3c27,0
DefaultOF,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,0,1,2022-05-30 09:46:30.935844,e764ee64e5b5e93fbef21c0f7cacbbab,0
CUDA,CG,NoPrecond,400,1,2,hkn1993.localdomain,1,0.5,0,2022-05-30 09:46:33.911467,9b116adb12cc60c871561504be14b309,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,1,0,2022-05-30 09:46:33.984954,07a7b7a5177ccf55a47ebefee4f7caab,0
CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,1,4,0,2022-05-30 09:46:34.085296,89aeb5f15afe50c448955ab9e691de30,0
CUDA,CG,NoPrecond,400,1,64,hkn1993.localdomain,1,16,0,2022-05-30 09:46:34.286471,1239ff31b1a951cb60df0f8428b8a9d7,0
CUDA,CG,NoPrecond,400,1,32,hkn1993.localdomain,1,8,0,2022-05-30 09:46:34.944451,52ce2f0bfcd5a7d5a1ee86cfbc934e4a,0
CUDA,CG,NoPrecond,400,1,8,hkn1993.localdomain,1,2,0,2022-05-30 09:46:35.290544,94af58933d530ac42a941d1c560c42a5,0
DefaultOF,CG,NoPrecond,400,1,64,hkn1993.localdomain,1,0,1,2022-05-30 09:46:48.308666,de68563c3fcb0e47f3a828e11e812eb0,0
CUDA,CG,NoPrecond,300,1,2,hkn1993.localdomain,1,0.5,0,2022-05-30 09:46:50.901242,94cc63749f867fa6db9d5bb8a1e4621f,0
CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,1,0,2022-05-30 09:46:50.980803,0111d4fa6b3f7e8e3ab4bb20f830931a,0
CUDA,CG,NoPrecond,300,1,16,hkn1993.localdomain,1,4,0,2022-05-30 09:46:51.063623,0db7fb79eac845ac968727719de7defa,0
CUDA,CG,NoPrecond,300,1,64,hkn1993.localdomain,1,16,0,2022-05-30 09:46:51.237280,cdc6b20d3ae363519239dce5271793cd,0
CUDA,CG,NoPrecond,300,1,32,hkn1993.localdomain,1,8,0,2022-05-30 09:46:51.813794,0e4824a69665e8241b2123cf031090c8,0
CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,2,0,2022-05-30 09:46:52.111462,34ebf8ad4756211c2cbf6ef17b3f82e4,0
DefaultOF,CG,NoPrecond,300,1,64,hkn1993.localdomain,1,0,1,2022-05-30 09:47:04.270509,603172ffc2d7cfd7401b57724b35e35d,0
CUDA,CG,NoPrecond,200,1,2,hkn1993.localdomain,1,0.5,0,2022-05-30 09:47:07.057102,9f87d7725ca198a9d1e3cc9d7a571056,0
CUDA,CG,NoPrecond,200,1,4,hkn1993.localdomain,1,1,0,2022-05-30 09:47:07.123792,950696b89bc0478f4a2c6712cf51fea2,0
CUDA,CG,NoPrecond,200,1,16,hkn1993.localdomain,1,4,0,2022-05-30 09:47:07.219724,19b97e883d6c30ea2585f2c87e2ce3ab,0
