backend,executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_of,backend_p,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 10:37:03 up 167 days, 19:34,  0 users,  load average: 0.19, 0.44, 0.55', 'Tasks: 2102 total,   1 running, 2100 sleeping,   1 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 465531.2 free,  36324.8 used,  12603.3 buff/cache', 'MiB Swap:  15258.7 total,  15248.5 free,     10.2 used. 474786.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3983353 eq4036    20   0   55976   6720   3696 R  33.3   0.0   0:00.17 top', '3983354 vs2660    20   0   37180   7792   5104 S   8.3   0.0   0:00.02 vim', '3959816 vs2660    20   0   19588   7156   3480 S   4.2   0.0   0:00.37 bash', '      1 root      20   0  235540  12680   8464 S   0.0   0.0  61:49.37 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:18.28 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri'], 'uptime': ' 10:37:03 up 167 days, 19:34,  0 users,  load average: 0.19, 0.44, 0.55\n', 'libOGL.so': 'dd4aa9cc72927bea77af730b232e02fc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
0,CUDA,CG,NoPrecond,400,1,4,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.691674,7cbe58b44084b9236c78630c98b52420,0
0,CUDA,CG,NoPrecond,400,1,40,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.734532,6aa745699cc42954a120363ebd9f688e,0
0,CUDA,CG,NoPrecond,400,1,20,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.770224,96f5fc98f40fc5848d6c8908ce77d6cb,0
0,CUDA,CG,NoPrecond,400,1,8,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.797368,10da109fbd45acd0226f5c185c051b7c,0
0,Default,CG,NoPrecond,400,1,76,hkn1991.localdomain,1,OpenFOAM,1,0,2022-10-10 08:37:03.831915,b6f39cacbdf9ef5a0c2e3597c026821e,0
0,CUDA,CG,NoPrecond,300,1,4,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.881367,600bc0e5b414a995b41d73636bc8f45b,0
0,CUDA,CG,NoPrecond,300,1,40,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.917576,7a84f4c545f3096e35b3d036a761f08c,0
0,CUDA,CG,NoPrecond,300,1,20,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.950347,fd502d2b14f9c82dd2688cc443058c04,0
0,CUDA,CG,NoPrecond,300,1,8,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:03.979324,10bdbaa287c0b9cc5f25681edad7e8ed,0
0,Default,CG,NoPrecond,300,1,76,hkn1991.localdomain,1,OpenFOAM,1,0,2022-10-10 08:37:04.024707,14622ad8bde0fff4cee2d1269fd89498,0
0,CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.083174,e27e6711cfcd320b48dd117fce478eab,0
0,CUDA,CG,NoPrecond,200,1,40,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.115648,3db1ab1d4376efddede3a3d85ac0492f,0
0,CUDA,CG,NoPrecond,200,1,20,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.146154,107ed592045e750b1e89208e1abef610,0
0,CUDA,CG,NoPrecond,200,1,8,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.195157,f42f1b9a67dde85e0dc3b88404f05aa7,0
0,Default,CG,NoPrecond,200,1,76,hkn1991.localdomain,1,OpenFOAM,1,0,2022-10-10 08:37:04.233261,5677dbb78121b89b61784fd60702cdc1,0
0,CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.269085,593e3211ef4c8ffcc8e94da1514180d3,0
0,CUDA,CG,NoPrecond,100,1,40,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.306439,e73494b5564112f52c1458507fab550d,0
0,CUDA,CG,NoPrecond,100,1,20,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.338460,085da813555fb1dbe82e60bfb3b43ffd,0
0,CUDA,CG,NoPrecond,100,1,8,hkn1991.localdomain,0,Ginkgo,1,1,2022-10-10 08:37:04.370432,bbca4d877a60c402d3fc9e957b81ba80,0
0,Default,CG,NoPrecond,100,1,76,hkn1991.localdomain,1,OpenFOAM,1,0,2022-10-10 08:37:04.412449,d9d5fb0ffbcd02211d93bc56e75de7ab,0
