executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,backend_p,mpiRank_of,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 16:37:51 up 61 days, 10:22,  0 users,  load average: 10.64, 11.77, 18.16', 'Tasks: 2556 total,  11 running, 2545 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  3.7 us,  3.3 sy,  0.0 ni, 92.9 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 417474.6 free,  79452.9 used,  17531.8 buff/cache', 'MiB Swap:  15258.7 total,  14329.3 free,    929.4 used. 431295.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1536566 scc-fin+  20   0  769180 236720   1648 R 100.0   0.0   1:11.17 ld', '1536617 scc-fin+  20   0  769248 243904   1648 R 100.0   0.0   1:08.10 ld', '1537175 scc-fin+  20   0 1677348   1.4g  13300 R 100.0   0.3   0:18.21 mcpcom', '1537290 scc-fin+  20   0  349128 270192  28124 R 100.0   0.1   0:06.04 clang', '1537294 scc-fin+  20   0  765956 241380   1644 R 100.0   0.0   0:03.16 ld', '1537297 scc-fin+  20   0  139480  37496   3836 R 105.0   0.0   0:00.96 icpc', '1536921 scc-fin+  20   0  738292 209020   1648 R 100.0   0.0   0:33.71 ld', '1537139 scc-fin+  20   0 1718624   1.5g  17924 R 100.0   0.3   0:18.83 mcpcom'], 'uptime': ' 16:37:51 up 61 days, 10:22,  0 users,  load average: 10.64, 11.77, 18.16\n', 'libOGL.so': '2a65dee85a4fbbd5ad9766d6e48f2e30  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
Default,CG,NoPrecond,400,1,76,hkn1993.localdomain,PETSC,1,1,0,2022-10-04 14:37:51.579283,a7f3853c57f88641b8280c805826ce0a,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,PETSC,4,1,0,2022-10-04 14:37:51.586943,9b08411bd082ab70b481da20f1ae3b9c,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,Ginkgo,0,1,1,2022-10-04 14:37:51.593081,17304d1bb6875bc04401df0fb9e69a81,0
Default,CG,NoPrecond,400,1,76,hkn1993.localdomain,OpenFOAM,1,1,0,2022-10-04 14:37:51.596457,546fccaf2cd3c487382780655579af2b,0
Default,CG,NoPrecond,300,1,76,hkn1993.localdomain,PETSC,1,1,0,2022-10-04 14:37:51.601167,7d8542bc7fe6c062c89cf1b0e5be8e3b,0
CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,PETSC,4,1,0,2022-10-04 14:37:51.606898,f45251b85d8a80995ddeb560ab4d16f1,0
CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,Ginkgo,0,1,1,2022-10-04 14:37:51.612465,d139c417b538836f9858e9c447d155b3,0
Default,CG,NoPrecond,300,1,76,hkn1993.localdomain,OpenFOAM,1,1,0,2022-10-04 14:37:51.618209,d5603f78789ad4a6cbb52016498d1d0c,0
Default,CG,NoPrecond,200,1,76,hkn1993.localdomain,PETSC,1,1,0,2022-10-04 14:37:51.622529,adf8b16c9d875af19c821603664673cb,0
CUDA,CG,NoPrecond,200,1,4,hkn1993.localdomain,PETSC,4,1,0,2022-10-04 14:37:51.628105,cd86950ad74ab3e3fe1cc7194ee09c2b,0
