executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 10:49:03 up 9 days, 19:46,  0 users,  load average: 0.60, 0.54, 0.65', 'Tasks: 2357 total,   1 running, 2356 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.2 us,  0.3 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 474410.8 free,  29120.8 used,  10927.6 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 481999.4 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 760197 eq4036    20   0   58228   6860   3572 R  35.0   0.0   0:00.14 top', ' 224042 jupyter+  20   0   53.7g 319820  15388 S  15.0   0.1  29:04.69 jupyterhub', '     37 root      20   0       0      0      0 S   5.0   0.0   0:02.83 ksoftirqd/4', ' 224049 jupyter+  20   0  914532  82448  30416 S   5.0   0.0  11:27.22 node', '2607690 dy7670    20   0   34920   5096   4320 S   5.0   0.0  16:55.22 sftp-server', '2611093 dy7670    20   0  180136   6688   4240 S   5.0   0.0  16:35.36 sshd', '2619578 dy7670    20   0   34920   5060   4284 S   5.0   0.0  19:13.71 sftp-server', '2621451 dy7670    20   0  180136   6648   4196 S   5.0   0.0  53:25.29 sshd'], 'uptime': ' 10:49:03 up 9 days, 19:46,  0 users,  load average: 0.60, 0.54, 0.65\n', 'libOGL.so': '24288f376cb12aa7f42bbd31ec993f06  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
DefaultOF,CG,DIC,Huge,1,152,hkn1990.localdomain,1,2,2022-05-05 08:49:04.006551,6809546665c99cf51c8ad3877907b0b1,0
DefaultOF,CG,DIC,Huge,1,304,hkn1990.localdomain,1,4,2022-05-05 08:49:04.063646,2a09d452f8fe639f6cade04f506f5aea,0
DefaultOF,CG,DIC,Huge,1,38,hkn1990.localdomain,1,0.5,2022-05-05 08:49:04.165499,13f696f7fa6ea43e8cb4ccce30142c24,0
DefaultOF,CG,DIC,Huge,1,1216,hkn1990.localdomain,1,16,2022-05-05 08:49:04.186870,ad2901b4930c7ad1f0be79857a71ef36,0
DefaultOF,CG,DIC,Huge,1,76,hkn1990.localdomain,1,1,2022-05-05 08:49:04.593222,b93b11ce2ede0ede22ab75ea7e8d02fd,0
DefaultOF,CG,DIC,Huge,1,608,hkn1990.localdomain,1,8,2022-05-05 08:49:04.632138,5277938b916dea2f6e940f50315ef263,0
DefaultOF,CG,DIC,Large,1,152,hkn1990.localdomain,1,2,2022-05-05 08:49:04.994067,0071f73e3e6a9c5a9a90ef890bc294f8,0
DefaultOF,CG,DIC,Large,1,304,hkn1990.localdomain,1,4,2022-05-05 08:49:05.047730,c056732838c30cf893303562baaba684,0
DefaultOF,CG,DIC,Large,1,38,hkn1990.localdomain,1,0.5,2022-05-05 08:49:05.148251,8949584ea535dad411473f7dc29780b8,0
DefaultOF,CG,DIC,Large,1,1216,hkn1990.localdomain,1,16,2022-05-05 08:49:05.167052,85cae04abbb26097ea4cd02c892833eb,0
DefaultOF,CG,DIC,Large,1,76,hkn1990.localdomain,1,1,2022-05-05 08:49:05.583750,d6ce298b8f94e2df41474510d2c5e916,0
DefaultOF,CG,DIC,Large,1,608,hkn1990.localdomain,1,8,2022-05-05 08:49:05.617217,fce6058ba9d7120da4b3424dedf8a7a9,0
DefaultOF,CG,DIC,Small,1,152,hkn1990.localdomain,1,2,2022-05-05 08:49:05.956277,43aa10dbf0433b8f09a80f53b35b02ba,0
DefaultOF,CG,DIC,Small,1,304,hkn1990.localdomain,1,4,2022-05-05 08:49:06.014947,e7406912353f9ecd7b656fa2488dc8ba,0
DefaultOF,CG,DIC,Small,1,38,hkn1990.localdomain,1,0.5,2022-05-05 08:49:06.115429,50e2446e88bc90debd8b263684680897,0
DefaultOF,CG,DIC,Small,1,1216,hkn1990.localdomain,1,16,2022-05-05 08:49:06.135223,7419f97c93b92cd034df9b94d9bd57de,0
DefaultOF,CG,DIC,Small,1,76,hkn1990.localdomain,1,1,2022-05-05 08:49:06.552297,6ec5058e5fa7145e87f849f91693f16c,0
DefaultOF,CG,DIC,Small,1,608,hkn1990.localdomain,1,8,2022-05-05 08:49:06.585495,9ff26f923f758e0dc252736f95cdeeab,0
DefaultOF,CG,DIC,Medium,1,152,hkn1990.localdomain,1,2,2022-05-05 08:49:06.948779,3a7166c3533a03d99cd65dd46a668600,0
DefaultOF,CG,DIC,Medium,1,304,hkn1990.localdomain,1,4,2022-05-05 08:49:07.008672,071cb60fb29b322c9d5db20f9b488738,0
DefaultOF,CG,DIC,Medium,1,38,hkn1990.localdomain,1,0.5,2022-05-05 08:49:07.110243,40b8d2228d48982bc092a43ba001cf1e,0
DefaultOF,CG,DIC,Medium,1,1216,hkn1990.localdomain,1,16,2022-05-05 08:49:07.129960,319292a59204bb0273d698805639a465,0
