executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 10:48:51 up 9 days, 19:46,  0 users,  load average: 0.44, 0.50, 0.64', 'Tasks: 2356 total,   1 running, 2355 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.7 us,  0.4 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 474412.0 free,  29119.7 used,  10927.6 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 482000.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  21910 root       0 -20   97.0g  21.5g  15.2g S 225.0   4.3   1578:04 mmfsd', ' 760094 eq4036    20   0   58228   6960   3676 R  40.0   0.0   0:00.15 top', '2617888 dy7670    20   0  179848   6288   4120 S   5.0   0.0  14:37.20 sshd', '2632791 dy7670    20   0  180136   6400   3944 S   5.0   0.0  25:58.64 sshd', '2637893 dy7670    20   0  180136   6696   4244 S   5.0   0.0  23:27.65 sshd', '2638665 dy7670    20   0   34920   5132   4364 S   5.0   0.0   8:08.52 sftp-server', '      1 root      20   0  239460  12104   8024 S   0.0   0.0  27:37.06 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:14.00 kthreadd'], 'uptime': ' 10:48:52 up 9 days, 19:46,  0 users,  load average: 0.44, 0.50, 0.64\n', 'libOGL.so': '24288f376cb12aa7f42bbd31ec993f06  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,ISAI,Huge,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:52.111329,c8b191cda45d6a97d9760e46526bcb96,0
CUDA,CG,ISAI,Huge,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:52.121256,121e7d78ec6227a2224011a1f08b8c93,0
CUDA,CG,ISAI,Huge,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:52.132472,25eb62d53fff67a427173fcb8475435b,0
CUDA,CG,ISAI,Huge,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:52.150855,ef3ae93835b794a3eb28fb2d6eb55208,0
CUDA,CG,ISAI,Huge,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:52.202092,742b9ce06eeeff47730f361a7af3c90e,0
CUDA,CG,ISAI,Huge,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:52.233862,872a1736b48e77639fa2726a38f0e6af,0
CUDA,CG,BJ,Huge,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:52.251863,e6089cfb608a31842c2453e09b7c62db,0
CUDA,CG,BJ,Huge,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:52.261373,d12a8dc98dbc413d3854f8b8bbe7687e,0
CUDA,CG,BJ,Huge,1,16,hkn1990.localdomain,1,4,2022-05-05 08:48:52.272452,89aefc3cf6ca184fe145779152ca860f,0
CUDA,CG,BJ,Huge,1,64,hkn1990.localdomain,1,16,2022-05-05 08:48:52.293324,0be73bafb47c84fc7a79f749e0b157ae,0
CUDA,CG,BJ,Huge,1,32,hkn1990.localdomain,1,8,2022-05-05 08:48:52.360030,9297658cc0978ef6febfb1902716bd11,0
CUDA,CG,BJ,Huge,1,8,hkn1990.localdomain,1,2,2022-05-05 08:48:52.393874,f752523eac9917771995bd2cd7c48dbf,0
CUDA,CG,Multigrid,Huge,1,2,hkn1990.localdomain,1,0.5,2022-05-05 08:48:52.404689,de50eea472f37e0329adac7bc02d1f24,0
CUDA,CG,Multigrid,Huge,1,4,hkn1990.localdomain,1,1,2022-05-05 08:48:52.409085,30fde4ea0816c1e2431d470e9e22a250,0
