executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 11:15:54 up 27 days, 20:13,  0 users,  load average: 51.73, 25.26, 11.46', 'Tasks: 1959 total,   6 running, 1953 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.2 id,  0.0 wa,  0.2 hi,  0.4 si,  0.0 st', 'MiB Mem : 514459.2 total, 460120.3 free,  41599.9 used,  12739.0 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 469513.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  25584 root       0 -20  101.5g  25.9g  19.1g S 766.7   5.2   5759:27 mmfsd', '4117904 dc6002    20   0 1065808 886024  13812 R 100.0   0.2   0:02.73 python', '4117357 dc6002    20   0 1693220   1.4g  14284 R 100.0   0.3   0:09.29 python', '4117899 scc-fin+  20   0   59132  24144   1112 R 100.0   0.0   0:05.37 git', '4117857 dc6002    20   0  160252  45080  10116 D  94.4   0.0   0:02.51 ncdump', '4117895 scc-fin+  20   0  101404   1388   1004 S  72.2   0.0   0:02.47 git', '4117898 scc-fin+  20   0   59132  23156   1112 R  66.7   0.0   0:04.63 git', '4117881 scc-fin+  20   0    7788   2032   1888 D  55.6   0.0   0:01.97 chmod'], 'uptime': ' 11:15:54 up 27 days, 20:13,  0 users,  load average: 51.73, 25.26, 11.46\n', 'libOGL.so': '46a428f41a981351cd57642b039729be  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,1,0,0.5,2022-05-23 09:15:54.574012,aca2856a3b81df1c071a4babd176ee0a,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,0,1,2022-05-23 09:15:54.654144,21397fe0050aae8c42c276e851f0b8c5,0
CUDA,CG,NoPrecond,500,1,16,hkn1993.localdomain,1,0,4,2022-05-23 09:15:54.748809,a844cfe0e426f22037e19db3c1f2f6a2,0
CUDA,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,0,16,2022-05-23 09:15:55.002379,fab1ed68946b24c2373ee65fcf981df9,0
CUDA,CG,NoPrecond,500,1,32,hkn1993.localdomain,1,0,8,2022-05-23 09:15:55.896628,828eb1f877093e02f74b083a9cf578d9,0
CUDA,CG,NoPrecond,500,1,8,hkn1993.localdomain,1,0,2,2022-05-23 09:15:56.401338,9cb96be6849b8578df057d1906486eb9,0
DefaultOF,CG,NoPrecond,500,1,512,hkn1993.localdomain,1,8,0,2022-05-23 09:15:56.632402,df6e6708882c2d3808287ca9b3f6c675,0
DefaultOF,CG,NoPrecond,500,1,1024,hkn1993.localdomain,1,16,0,2022-05-23 09:16:02.585004,b12a297a101651b4c08cc6671a9ecab7,0
DefaultOF,CG,NoPrecond,500,1,128,hkn1993.localdomain,1,2,0,2022-05-23 09:16:14.905023,68a2be3a5799cb0b1168f0c299b22d45,0
