executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 17:00:15 up 63 days,  1:57,  0 users,  load average: 0.12, 0.22, 0.34', 'Tasks: 2017 total,   1 running, 2016 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.3 us,  0.3 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 463172.6 free,  35604.4 used,  15682.3 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 475507.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 224527 eq4036    20   0   57972   6384   3612 R  28.6   0.0   0:00.14 top', '      1 root      20   0  239456  12196   8160 S   0.0   0.0   7:16.56 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:18.09 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     11 root      20   0       0      0      0 S   0.0   0.0   1:15.11 ksoftirqd/0'], 'uptime': ' 17:00:15 up 63 days,  1:57,  0 users,  load average: 0.12, 0.22, 0.34\n', 'libOGL.so': '6f283d8fd53f5c2acd62baaa550199b2  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,3,hkn1993.localdomain,1,3,2022-06-27 15:00:15.791277,2c361d31e5e7f9639939e2ba202f927c,0
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,1,2,2022-06-27 15:00:15.840643,769e9a4fb6875093c5bfbb92a6c8cd80,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,4,2022-06-27 15:00:15.867370,aa9933a45ee004121521c53483001089,0
CUDA,CG,NoPrecond,400,1,3,hkn1993.localdomain,1,3,2022-06-27 15:00:15.910130,930d8f8565b1ace6d26d44f150c5a03a,0
CUDA,CG,NoPrecond,400,1,2,hkn1993.localdomain,1,2,2022-06-27 15:00:15.956392,86f07a9becced61b87b94017e1889816,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,4,2022-06-27 15:00:16.007875,84cac4a7dc13ca0a9bcc48be41af2ff0,0
CUDA,CG,NoPrecond,300,1,3,hkn1993.localdomain,1,3,2022-06-27 15:00:16.042051,09742b21f01ecefb927785310bacea2d,0
CUDA,CG,NoPrecond,300,1,2,hkn1993.localdomain,1,2,2022-06-27 15:00:16.053900,fa58b856b6f2be1a2f374273ccb4ce3d,0
CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,4,2022-06-27 15:00:16.067387,93f3e9e2158c839843a1e36f14a67055,0
CUDA,CG,NoPrecond,200,1,3,hkn1993.localdomain,1,3,2022-06-27 15:00:16.097665,019262319c3435f4cb5ccfa3be86277a,0
CUDA,CG,NoPrecond,200,1,2,hkn1993.localdomain,1,2,2022-06-27 15:00:16.108515,8350f1be7c0309432a618cb99622f194,0
CUDA,CG,NoPrecond,200,1,4,hkn1993.localdomain,1,4,2022-06-27 15:00:16.119574,352c46c8c02daa2c32dd8a1076740d4e,0
CUDA,CG,NoPrecond,100,1,3,hkn1993.localdomain,1,3,2022-06-27 15:00:16.174871,e8cb602eff3adc21296b1c9be19660ea,0
CUDA,CG,NoPrecond,100,1,2,hkn1993.localdomain,1,2,2022-06-27 15:00:16.185416,e7de919417abf2d76db9809c2f8ae634,0
CUDA,CG,NoPrecond,100,1,4,hkn1993.localdomain,1,4,2022-06-27 15:00:16.196897,196a4cb3dde35403046a8d82df35722d,0
