executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,mpiRank_gko,processes,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 13:42:07 up 64 days, 22:39,  0 users,  load average: 0.08, 0.51, 1.27', 'Tasks: 2245 total,   1 running, 2244 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 462531.8 free,  34621.1 used,  17306.4 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 476522.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 934430 eq4036    20   0   58100   6604   3580 R  33.3   0.0   0:00.13 top', '  22158 root       0 -20  101.1g  25.7g  18.9g S   4.8   5.1  11048:52 mmfsd', '      1 root      20   0  239516  12416   8340 S   0.0   0.0  21:56.38 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:28.75 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 13:42:07 up 64 days, 22:39,  0 users,  load average: 0.08, 0.51, 1.27\n', 'libOGL.so': '6f283d8fd53f5c2acd62baaa550199b2  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,3,hkn1991.localdomain,3,1,2022-06-29 11:42:07.523483,7b2f19fe90e8dae18b34eb8f5d9e8839,0
CUDA,CG,NoPrecond,500,1,2,hkn1991.localdomain,2,1,2022-06-29 11:42:07.532071,5272fa862d10390eb1ca2681a6751eb0,0
CUDA,CG,NoPrecond,500,1,4,hkn1991.localdomain,4,1,2022-06-29 11:42:07.567821,0569aff505d8e222f9c63fba5b116099,0
CUDA,CG,NoPrecond,400,1,3,hkn1991.localdomain,3,1,2022-06-29 11:42:07.601784,aa5ae574f401584c22296a1b3f4ada7d,0
CUDA,CG,NoPrecond,400,1,2,hkn1991.localdomain,2,1,2022-06-29 11:42:07.637601,f9973ab04784c9f79c070a01a83d2751,0
CUDA,CG,NoPrecond,400,1,4,hkn1991.localdomain,4,1,2022-06-29 11:42:07.679223,ad8451c6b96935a9743b7b228a95e9da,0
CUDA,CG,NoPrecond,300,1,3,hkn1991.localdomain,3,1,2022-06-29 11:42:07.704298,a1eb291fb8684dde0cae076c09698de8,0
CUDA,CG,NoPrecond,300,1,2,hkn1991.localdomain,2,1,2022-06-29 11:42:07.732561,eb866fd6f1b18450391b09d765fcbc17,0
CUDA,CG,NoPrecond,300,1,4,hkn1991.localdomain,4,1,2022-06-29 11:42:07.789047,4b846168784a2f94b4b5cddea51650a1,0
CUDA,CG,NoPrecond,200,1,3,hkn1991.localdomain,3,1,2022-06-29 11:42:07.827566,ccd56718e2e6194c7eb0dd3ac802819e,0
CUDA,CG,NoPrecond,200,1,2,hkn1991.localdomain,2,1,2022-06-29 11:42:07.863811,3e0f04880fd5efcbf3c2d84081e6d26f,0
CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,4,1,2022-06-29 11:42:07.904093,6724d95d4c86f4e6e10f57a4dc27a167,0
CUDA,CG,NoPrecond,100,1,3,hkn1991.localdomain,3,1,2022-06-29 11:42:07.945498,47e4a274faca266b8381c192851ead1f,0
CUDA,CG,NoPrecond,100,1,2,hkn1991.localdomain,2,1,2022-06-29 11:42:07.971151,cf6f692bbfe819ccf18b8b265079d573,0
CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,4,1,2022-06-29 11:42:08.024349,9765f548e08a07818cacd899b33ba6b9,0
