executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 05:59:38 up 64 days, 14:56,  0 users,  load average: 0.03, 0.11, 0.11', 'Tasks: 2060 total,   2 running, 2058 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 463376.2 free,  34214.1 used,  16868.9 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 476930.9 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 750610 eq4036    20   0   57968   6436   3664 R  30.0   0.0   0:00.13 top', '      1 root      20   0  239516  12408   8340 S   0.0   0.0  21:53.93 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:28.41 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq', '     11 root      20   0       0      0      0 S   0.0   0.0   0:56.90 ksoftirqd/0'], 'uptime': ' 05:59:38 up 64 days, 14:56,  0 users,  load average: 0.03, 0.11, 0.11\n', 'libOGL.so': '6f283d8fd53f5c2acd62baaa550199b2  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,3,hkn1991.localdomain,1,3,2022-06-29 03:59:38.808051,6491c4f675c623079f4e77516d7a5be7,0
CUDA,CG,NoPrecond,500,1,2,hkn1991.localdomain,1,2,2022-06-29 03:59:38.857400,4087e11ab104adbe64f3ea4fb654ca05,0
CUDA,CG,NoPrecond,500,1,4,hkn1991.localdomain,1,4,2022-06-29 03:59:38.935200,8d6b884f8ab6b2cc59ed6120287d413e,0
CUDA,CG,NoPrecond,400,1,3,hkn1991.localdomain,1,3,2022-06-29 03:59:39.000031,d0344a0fedac8ef5dc041426ffc8579c,0
CUDA,CG,NoPrecond,400,1,2,hkn1991.localdomain,1,2,2022-06-29 03:59:39.049374,28286aae7a2a51364111913de38b0590,0
CUDA,CG,NoPrecond,400,1,4,hkn1991.localdomain,1,4,2022-06-29 03:59:39.103180,38520a7dc3347d4600d743713806e74e,0
CUDA,CG,NoPrecond,300,1,3,hkn1991.localdomain,1,3,2022-06-29 03:59:39.164988,88352c8e3bd20d1013b63b3e145d587a,0
CUDA,CG,NoPrecond,300,1,2,hkn1991.localdomain,1,2,2022-06-29 03:59:39.209268,1af2af8f2790a5cb710020fbc1194ec1,0
CUDA,CG,NoPrecond,300,1,4,hkn1991.localdomain,1,4,2022-06-29 03:59:39.248741,ff23d7d0e73d8010400e2bd682ff9b43,0
CUDA,CG,NoPrecond,200,1,3,hkn1991.localdomain,1,3,2022-06-29 03:59:39.315741,0d0b66082c3d1e45f5bc168b60ef361e,0
CUDA,CG,NoPrecond,200,1,2,hkn1991.localdomain,1,2,2022-06-29 03:59:39.380230,49955c676e1d57583126a8f223b20ecc,0
CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,1,4,2022-06-29 03:59:39.436067,e6a0ce6331fd4daea125dfcc1b7acceb,0
CUDA,CG,NoPrecond,100,1,3,hkn1991.localdomain,1,3,2022-06-29 03:59:39.506180,66506a332e45f64be7ee7307eceb4ad4,0
CUDA,CG,NoPrecond,100,1,2,hkn1991.localdomain,1,2,2022-06-29 03:59:39.536274,2c7ed9711b4bac4c2e92caceed5f8852,0
CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,1,4,2022-06-29 03:59:39.582242,75e1404589be9c55db74f34efdb76a31,0
